data_pregao,preco_abertura,preco_maximo,preco_minimo,preco_ultimo_negocio,preco_ultimo_negocio,quantidade_negocios
2019-01-02,180.42,185.99,179.03,185.99,185.99,18259
2019-01-03,184.99,185.49,179.36,184.0,184.0,18280
2019-01-04,184.05,184.35,178.35,178.4,178.4,21091
2019-01-07,178.0,182.48,177.27,181.17,181.17,14707
2019-01-08,181.55,182.49,179.0,179.71,179.71,13906
2019-01-09,181.0,182.0,177.75,179.11,179.11,18184
2019-01-10,179.01,181.1,177.8,180.85,180.85,20832
2019-01-11,181.0,181.54,177.51,177.6,177.6,20823
2019-01-14,177.91,179.69,176.0,179.0,179.0,14197
2019-01-15,180.0,180.9,175.58,176.97,176.97,21141
2019-01-16,177.1,178.0,173.18,175.0,175.0,29763
2019-01-17,174.05,176.22,172.75,174.48,174.48,24722
2019-01-18,175.5,176.85,173.5,174.2,174.2,17558
2019-01-21,173.99,174.22,167.0,167.0,167.0,25398
2019-01-22,163.15,166.95,160.65,162.05,162.05,39313
2019-01-23,163.99,170.16,162.81,169.6,169.6,24658
2019-01-24,170.52,171.3,165.15,167.48,167.48,26692
2019-01-28,165.99,168.5,164.01,167.38,167.38,18482
2019-01-29,168.1,179.7,168.01,178.1,178.1,37989
2019-01-30,180.0,182.0,173.13,176.15,176.15,25609
2019-01-31,177.5,180.98,173.68,179.07,179.07,21097
2019-02-01,179.0,180.48,176.12,178.8,178.8,16468
2019-02-04,177.5,178.15,174.51,177.07,177.07,13699
2019-02-05,176.89,177.36,174.8,175.5,175.5,9776
2019-02-06,174.48,174.5,168.5,169.7,169.7,17952
2019-02-07,170.61,175.4,166.8,166.8,166.8,24615
2019-02-08,168.0,170.0,164.56,170.0,170.0,14409
2019-02-11,169.96,169.98,164.51,165.33,165.33,16915
2019-02-12,167.01,168.19,163.3,164.8,164.8,21145
2019-02-13,165.57,166.0,158.21,161.3,161.3,29847
2019-02-14,162.5,170.99,160.02,170.69,170.69,22067
2019-02-15,169.5,169.99,163.97,163.97,163.97,21605
2019-02-18,163.88,168.54,162.5,168.54,168.54,9779
2019-02-19,168.0,171.98,167.61,169.66,169.66,24680
2019-02-20,171.88,171.88,162.25,162.5,162.5,38020
2019-02-21,164.13,164.5,159.57,161.1,161.1,29201
2019-02-22,170.01,181.16,165.93,177.9,177.9,104809
2019-02-25,178.76,179.9,173.7,173.7,173.7,33122
2019-02-26,173.01,179.87,171.2,178.5,178.5,25672
2019-02-27,178.5,179.58,174.81,176.0,176.0,20532
2019-02-28,175.9,176.98,170.07,173.46,173.46,25640
2019-03-01,174.89,179.0,173.21,175.22,175.22,24837
2019-03-06,175.15,175.35,171.14,171.61,171.61,12390
2019-03-07,171.49,177.99,170.5,177.15,177.15,22561
2019-03-08,175.9,183.38,173.8,180.82,180.82,33575
2019-03-11,180.75,183.84,178.25,182.57,182.57,22869
2019-03-12,181.0,181.51,177.94,178.85,178.85,13893
2019-03-13,178.25,179.57,175.6,177.28,177.28,14642
2019-03-14,176.95,178.57,175.57,176.5,176.5,8786
2019-03-15,178.0,178.5,175.51,177.19,177.19,13616
2019-03-18,177.0,181.46,176.15,180.42,180.42,14677
2019-03-19,179.75,182.79,179.31,180.7,180.7,14488
